Race Name,Location,Race,Date,Time,PR_SR?
USA - Open National Championships 2022,Salt Lake City (USA) ,1500m,44260,01:53.0,PR SB
USA - Open National Championships 2023,Salt Lake City (USA) ,1000m,44261,01:13.0,PR SB
USA - Open National Championships 2025,Salt Lake City (USA) ,500m,44262,37.98,
USA - Open National Championships 2026,Salt Lake City (USA) ,1000m,44262,01:13.3,PR SB
